,percent
8525,0.9percent
8526,0.6percent
8527,17percent
8528,2%
8529,higherpercent
8530,4percent
8531,100percent
8532,11%
8533,22%
8534,0.99percent
8535,1.5%
8536,1.2%
8537,0.8percent
8538,11percent
8539,1.0percent
8540,3percent
8541,onepercentage point
8542,3.7percent
8543,4percent
8544,3percent
8545,3.4percent
8546,3.8%
8547,1.2percent
8548,2.1percent
8549,1percent
8550,2percent
8551,smallpercent
8552,largepercent
8553,5%
8554,5%
8555,0.75%
8556,smallpercent
8557,5.1%
8558,20%
8559,20%
8560,20%
8561,36%
8562,34%
8563,20%
8564,17%
8565,19.6%
8566,17.4%
8567,usepercent
8568,25percent
8569,requiredpercent
8570,50.6%
8571,63%
8572,73%
8573,100%
8574,1.5%
8575,1.2%
8576,1.2%
8577,1.86%
8578,10.2percent
8579,10.3percent
8580,34percent
8581,34percent
8582,12.2%
8583,23%
8584,1%
8585,3%
8586,40%
8587,0.5%
8588,0.2%
8589,0.8%
8590,3%
8591,4percent
8592,5.6%
8593,2percent
8594,6percent
8595,7.7percent
8596,6percent
8597,2percent
8598,2percent
8599,halfpercentage point
8600,2percent
8601,91.2%
8602,81.0%
8603,64.6%
8604,0.6%
8605,1.9%
8606,3.3%
8607,2.9%
8608,5.6%
8609,3.6%
8610,7.6%
8611,27.9%
8612,1.29%
8613,5%
8614,4%
8615,5%
8616,1.72%
8617,5%
8618,2.92%
8619,5%
8620,5%
8621,5%
8622,7%
8623,20%
8624,2%
8625,5%
8626,7%
8627,6%
8628,7%
8629,0.5%
8630,2%
8631,48percent
8632,47percent
8633,50percent
8634,1percent
8635,1.1percent
8636,4%
8637,2%
8638,45%
8639,20%
8640,Fifty-sevenpercent
8641,50%
8642,3.5%
8643,10%
8644,healthypercent
8645,6percent
8646,14percent
8647,23percent
8648,28percent
8649,13.5percent
8650,18.11%
8651,10percent
8652,0.75percent
8653,0percent
8654,3.5%
8655,2%
8656,80%
8657,70%
8658,0.5percent
8659,2%
8660,2%
8661,2.2%
8662,5.25%
8663,1.3%
8664,0.3%
8665,0.9%
8666,1.3%
8667,3.1%
8668,2.5%
8669,50%
8670,75%
8671,0.1%
8672,0.09%
8673,3%
8674,0.2percent
8675,0.5percent
8676,1.2percent
8677,0.1percent
8678,0.1percent
8679,2percent
8680,2.2percent
8681,2percent
8682,0.425percent
8683,2percent
8684,2percent
8685,2percent
8686,100%
8687,42.3percent
8688,3percent
8689,factorpercent
8690,0percent
8691,2%
8692,3%
8693,5%
8694,10percent
8695,20percent
8696,10percent
8697,2.7percent
8698,4percent
8699,sixpercent
8700,2%
8701,20%
8702,2%
8703,20%
8704,7.8percent
8705,0.8percent
8706,10.9percent
8707,30%
8708,30%
8709,18%
8710,10%
8711,10%
8712,41percent
8713,10percent
8714,7.6percent
8715,58.5%
8716,7.8%
8717,7.4%
8718,7.7%
8719,7.1%
8720,8percent
8721,8.1percent
8722,2percentage point
8723,0.5percent
8724,8.1percent
8725,10.8percent
8726,7.9percent
8727,9.6percent
8728,17percent
8729,4percent
8730,17.5percent
8731,16.9percent
8732,13.7percent
8733,11percent
8734,1percent
8735,63.3percent
8736,64.1percent
8737,63.7percent
8738,63.7percent
8739,63.8percent
8740,8.1percent
8741,7.6percent
8742,7.6percent
8743,7.7percent
8744,63.3percent
8745,7.6%
8746,35percent
8747,6.5percent
8748,1.23%
8749,2%
8750,2percent
8751,1.76percent
8752,0.12percent
8753,1.12percent
8754,10.37percent
8755,7.5percent
8756,9percent
8757,1.27percent
8758,7.37percent
8759,0.60percent
8760,7.92percent
8761,3.77percent
8762,7.8percent
8763,7.7percent
8764,2.7%
8765,4.5%
8766,1.5%
8767,97percent
8768,87percent
8769,35percent
8770,25percent
8771,26percent
8772,1percent
8773,30percent
8774,12percent
8775,6percent
8776,2percent
8777,15percent
8778,67percent
8779,50%
8780,twopercent
8781,onepercent
8782,20percent
8783,46percent
8784,1.6percent
8785,2%
8786,0.9%
8787,2.6%
8788,2%
8789,25percent
8790,17.79percent
8791,97percent
8792,100%
8793,100%
8794,8.3percent
8795,12percent
8796,70percent
8797,2%
8798,7.9percent
8799,7.6percent
8800,2.7percent
8801,sixpercent
8802,5.5percent
8803,2.1percent
8804,2.5percent
8805,3.2percent
8806,1.9percent
8807,1.6percent
8808,6percent
8809,2.7percent
8810,1percent
8811,onepercent
8812,3.5percent
8813,25%
8814,100000000000%
8815,25%
8816,32percent
8817,11percent
8818,51percent
8819,97percent
8820,18percent
8821,10percent
8822,32percent
8823,32percent
8824,51percent
8825,10percent
8826,32percent
8827,97percent
8828,37.59percent
8829,1percent
8830,3percent
8831,72percent
8832,7percent
8833,4percent
8834,20.9percent
8835,34.7percent
8836,30.5percent
8837,24percent
8838,20.9percent
8839,18.0percent
8840,19.4percent
8841,5percent
8842,4percent
8843,41percent
8844,66percent
8845,3percent
8846,1percent
8847,75percent
8848,19.7percent
8849,2percent
8850,9.5percent
8851,50%
8852,4.4%
8853,80%
8854,55%
8855,80%
8856,27.6percent
8857,18percent
8858,40%
8859,5%
8860,32percent
8861,correlationpercent
8862,5.3%
8863,9.5%
8864,6.8%
8865,9.5%
8866,8.1%
8867,3%
8868,10%
8869,2.8%
8870,58percent
8871,5percentage point
8872,21percent
8873,17percent
8874,48percent
8875,2.7percent
8876,2.9percent
8877,40percent
8878,1.75percent
8879,1.95percent
8880,1.62percent
8881,1.49percent
8882,0.6%
8883,2.8%
8884,1%
8885,65%
8886,75%
8887,70%
8888,12%
8889,12%
8890,1.72%
8891,1%
8892,2.8%
8893,10percent
8894,21.8percent
8895,29.8%
8896,343percent
8897,201percent
8898,40percent
8899,10percent
8900,11.7percent
8901,21.8percent
8902,14.1percent
8903,sixpercent
8904,15.2percent
8905,25%
8906,60percent
8907,55percent
8908,78percent
8909,72percent
8910,6.7percent
8911,5.8percent
8912,21percent
8913,10percent
8914,11percent
8915,21.1percent
8916,9.5percent
8917,10.5percent
8918,single-digitpercent
8919,onepercent
8920,10percent
8921,Fiftypercent
8922,20percent
8923,25%
8924,25%
8925,99.9%
8926,100%
8927,100%
8928,600%
8929,100%
8930,100%
8931,1000%
8932,26percent
8933,10%
8934,3.5%
8935,20%
8936,2%
8937,20%
8938,25%
8939,0.5%
8940,230%
8941,175%
8942,125%
8943,33percent
8944,0.6percent
8945,0.5percent
8946,18percent
8947,1percent
8948,2.9percent
8949,worldpercent
8950,11percent
8951,20percent
8952,15percent
8953,10percent
8954,2percent
8955,69percent
8956,32percent
8957,2.9%
8958,5.6%
8959,7.6%
8960,350%
8961,550%
8962,5.1percent
8963,10%
8964,18.11%
8965,10percent
8966,6.5percent
8967,5.4percent
8968,30percent
8969,20percent
8970,30percent
8971,10percent
8972,84.3percent
8973,1.81%
8974,1.54%
8975,0.6%
8976,0.7%
8977,0.5%
8978,60percent
8979,0.22%
8980,1.86%
8981,53percent
8982,quitpercent
8983,40percent
8984,11.3percent
8985,1.6percent
8986,44percent
8987,61percent
8988,100%
8989,1%
8990,2.43%
8991,2.17%
8992,0.27%
8993,2.47%
8994,0.31%
8995,60percent
8996,16percent
8997,18.11%
8998,33percent
8999,73%
9000,1.7%
9001,73%
9002,1.7%
9003,50percent
9004,1.8percent
9005,40%
9006,4.5percent
9007,3.7percent
9008,3percent
9009,2percent
9010,1.9percent
9011,100%
9012,600%
9013,75%
9014,4percent
9015,10.8percent
9016,10.7percent
9017,9.3percent
9018,2.4percent
9019,7percent
9020,5.9percent
9021,6.3percent
9022,5.2percent
9023,13.5percent
9024,13percent
9025,70percent
9026,78percent
9027,7.7percent
9028,2percent
9029,2percent
9030,2percent
9031,2percent
9032,2percent
9033,halfpercentage point
9034,2percent
9035,2percent
9036,30%
9037,2%
9038,28%
9039,30percent
9040,4.4percent
9041,2.8percent
9042,1.7percent
9043,0.8%
9044,0.5%
9045,1.7percent
9046,0.52%
9047,0.58%
9048,0.7%
9049,0.02%
9050,0.77%
9051,1.4%
9052,0.6%
9053,0.2%
9054,0.8percent
9055,0.4percent
9056,1.5percent
9057,26.3percent
9058,54.5percent
9059,16.2percent
9060,19.3percent
9061,10.1percent
9062,5.9%
9063,49%
9064,37%
9065,8percent
9066,14percent
9067,40percent
9068,27percent
9069,1%
9070,61percent
9071,12.8percent
9072,11.7percent
9073,22.6percent
9074,single-daypercent
9075,7.9percent
9076,10percent
9077,5percent
9078,1.3percent
9079,16percent
9080,3percent
9081,40percent
9082,50percent
9083,14%
9084,15.7percent
9085,198percent
9086,0.25%
9087,3percent
9088,2.75percent
9089,3%
9090,2.75%
9091,61percent
9092,1.5percent
9093,Wagespercent
9094,61percent
9095,3.6%
9096,1percent
9097,23percent
9098,2percent
9099,200percent
9100,25%
9101,9.4%
9102,16.1%
9103,50%
9104,25%
9105,49%
9106,31%
9107,31.4%
9108,40%
9109,10%
9110,90%
9111,5%
9112,21percent
9113,18percent
9114,200percent
9115,4.1%
9116,27.2%
9117,21.5%
9118,25.7%
9119,7percent
9120,3.5percent
9121,50percent
9122,40percent
9123,2%
9124,4%
9125,16.7%
9126,1.8%
9127,1.3%
9128,19%
9129,21%
9130,39%
9131,21%
9132,39%
9133,1%
9134,100%
9135,2%
9136,442%
9137,4%
9138,0.8%
9139,2%
9140,7%
9141,3%
9142,5.5%
9143,2%
9144,2%
9145,0.5%
9146,2%
9147,3%
9148,appreciablepercent
9149,5percent
9150,19%
9151,4%
9152,20%
9153,4.1%
9154,20%
9155,20%
9156,2percent
9157,23%
9158,8%
9159,98percent
9160,20percent
9161,0.8%
9162,1.6%
9163,0.4%
9164,4.5%
9165,5.4percent
9166,3percent
9167,98%
9168,300%
9169,1.2%
9170,275%
9171,12%
9172,75%
9173,2.6percent
9174,5%
9175,10%
9176,0.4%
9177,0.1%
9178,0.4%
9179,0.1%
9180,0.3%
9181,0.6%
9182,0.2%
9183,0.2%
9184,1.1%
9185,2.5%
9186,35%
9187,77%
9188,3.48%
9189,3.53%
9190,27%
9191,10percent
9192,17percent
9193,1percent
9194,20percent
9195,54percent
9196,23percent
9197,60percent
9198,55percent
9199,50%
9200,3%
9201,2%
9202,0.9%
9203,2.6%
9204,7%
9205,1.75%
9206,3.6%
9207,2%
9208,1.75%
9209,2%
9210,0.4%
9211,15%
9212,0.5%
9213,0.6%
9214,0.8%
9215,1.0%
9216,0.9%
9217,42.9%
9218,36.1%
9219,32.3%
9220,31.7%
9221,30.9%
9222,27.6%
9223,10%
9224,240%
9225,27.6%
9226,29.5%
9227,24.2%
9228,mega-percent
9229,35%
9230,70%
9231,19percent
9232,64percent
9233,61%
9234,80%
9235,75%
9236,25%
9237,28%
9238,5%
9239,3.6%
9240,5%
9241,28%
9242,3.6%
9243,28percent
9244,5%
9245,28%
9246,1.4%
9247,5%
9248,28%
9249,1.4%
9250,28%
9251,requestpercent
9252,28%
9253,5%
9254,3.2%
9255,5.4%
9256,4%
9257,30%
9258,25%
9259,40%
9260,52%
9261,44%
9262,0.1%
9263,2%
9264,3%
9265,Twopercent
9266,2%
9267,1%
9268,1.7%
9269,3.5%
9270,3.6%
9271,50%
9272,1.4%
9273,4.2%
9274,4%
9275,1.2%
9276,3.6%
9277,2.2%
9278,16%
9279,1.5percent
9280,3.3percent
9281,2023percent
9282,2.1%
9283,Thispercent
9284,4%
9285,4%
9286,40%
9287,40%
9288,4%
9289,5%
9290,13%
9291,fallpercent
9292,40percent
9293,4.0percent
9294,2.4percent
9295,3.7percent
9296,2.5percent
9297,3percent
9298,3.2percent
9299,3.5percent
9300,4%
9301,4%
9302,2%
9303,1%
9304,1.5%
9305,20%
9306,15percent
9307,0.4percent
9308,2percent
9309,9percent
9310,4percent
9311,1%
9312,8%
9313,7.7%
9314,21.3%
9315,20percent
9316,4.5percentage point
9317,10.8%
9318,12.0%
9319,4.5%
9320,onepercentage point
9321,2.4%
9322,1.7%
9323,3%
9324,highestpercent
9325,70%
9326,smallerpercent
9327,smallerpercent
9328,10%
9329,10%
9330,10%
9331,90percent
9332,tenpercent
9333,2percent
9334,12percent
9335,25percent
9336,75percent
9337,20percent
9338,largepercent
9339,consumptionpercent
9340,2%
9341,7%
9342,20%
9343,35%
9344,600%
9345,100%
9346,70%
9347,50%
9348,0.3%
9349,0.3%
9350,50percent
9351,30%
9352,1.6%
9353,1.0%
9354,0.4%
9355,10%
9356,75%
9357,75%
9358,10.5percent
9359,8.5%
9360,64%
9361,significantpercent
9362,64percent
9363,40.3%
9364,64%
9365,21%
9366,1.5percent
9367,7.3%
9368,5.9%
9369,5.4%
9370,5.3%
9371,5.0%
9372,50.66%
9373,49.07%
9374,100%
9375,7%
9376,2%
9377,20%
9378,2%
9379,20%
9380,35%
9381,highestpercent
9382,highestpercent
9383,76%
9384,72%
9385,71%
9386,90%
9387,82%
9388,58%
9389,2%
9390,10%
9391,10%
9392,5%
9393,highpercent
9394,8percent
9395,10%
9396,7.0%
9397,3.5percent
9398,50%
9399,55%
9400,5%
9401,13%
9402,13.3percent
9403,15percent
9404,2.5%
9405,3%
9406,17.4%
9407,1.25%
9408,600percent
9409,0.7%
9410,3.5%
9411,0.05%
9412,0.05%
9413,pay%
9414,1%
9415,3%
9416,1%
9417,5%
9418,1%
9419,2%
9420,7%
9421,5percent
9422,14percent
9423,400percent
9424,13percent
9425,7.7percent
9426,8percent
9427,7.9percent
9428,8%
9429,1%
9430,0.9%
9431,1.6%
9432,1%
9433,40%
9434,7.5percent
9435,8percent
9436,0.9%
9437,0.3%
9438,0.7%
9439,40%
9440,10%
9441,1%
9442,60%
9443,1%
9444,20%
9445,50%
9446,50%
9447,18%
9448,18%
9449,50%
9450,105%
9451,124%
9452,20%
9453,85%
9454,38%
9455,20%
9456,7%
9457,37%
9458,13%
9459,27%
9460,24%
9461,29%
9462,19%
9463,50%
9464,0.22%
9465,100%
9466,15%
9467,15%
9468,2.2%
9469,90%
9470,3.3%
9471,90%
9472,4.2%
9473,3.1%
9474,3.2%
9475,2.4%
9476,1.6%
9477,90%
9478,90%
9479,1.2%
9480,90%
9481,1%
9482,1%
9483,3%
9484,10%
9485,3%
9486,0.4%
9487,90percent
9488,onepercent
9489,severalpercent
9490,90percent
9491,90percent
9492,90percent
9493,90percent
9494,90percent
9495,3percent
9496,90percent
9497,2.58percent
9498,90percent
9499,90percent
9500,2.4percent
9501,90percent
9502,90percent
9503,90percent
9504,2.6percent
9505,90percent
9506,2.2percent
9507,13%
9508,15%
9509,22%
9510,80%
9511,98percent
9512,10percent
9513,70percent
9514,1%
9515,1%
9516,40%
9517,3%
9518,10%
9519,13%
9520,3%
9521,1percentage point
9522,20%
9523,40%
9524,13%
9525,10%
9526,0%
9527,5%
9528,3.0%
9529,12%
9530,69%
9531,53%
9532,63%
9533,36%
9534,141%
9535,24%
9536,40%
9537,50%
9538,42%
9539,2%
9540,0.8percent
9541,0.9percent
9542,2.4%
9543,8%
9544,7%
9545,31%
9546,4.8%
9547,0.4%
9548,1.1%
9549,0.7%
9550,78.5%
9551,78.4%
9552,0.4percent
9553,1.1percent
9554,5.0percent
9555,0.1percent
9556,0.9percent
9557,5.3percent
9558,0.2percent
9559,5.3percent
9560,99.5percent
9561,3.5percent
9562,78.5percent
9563,1.2percentage point
9564,1.7percentage point
9565,3.3%
9566,3.5%
9567,1.9%
9568,8.0%
9569,8.1%
9570,3.4%
9571,3.7%
9572,10percent
9573,0.2%
9574,0.1%
9575,0.2%
9576,1.5%
9577,1.6%
9578,2.0%
9579,1.9%
9580,2.0%
9581,2.0%
9582,7%
9583,31%
9584,4.8%
9585,1.4%
9586,3.9%
9587,0.3%
9588,0.2%
9589,3.0%
9590,1.4%
9591,2.2%
9592,4%
9593,9%
9594,5%
9595,1%
9596,12.4%
9597,36%
9598,12%
9599,63%
9600,10%
9601,18%
9602,7%
9603,15%
9604,12%
9605,13%
9606,36%
9607,43.0%
9608,44.0%
9609,1%
9610,19%
9611,33.0%
9612,33.3%
9613,3%
9614,14.4%
9615,12.7%
9616,16.7%
9617,14.5%
9618,40%
9619,4%
9620,1.8%
9621,2%
9622,1%
9623,1.5%
9624,3%
9625,appreciablepercent
9626,25%
9627,7%
9628,50%
9629,65%
9630,100%
9631,0%
9632,20%
9633,10%
9634,10%
9635,10%
9636,0.2%
9637,0.2%
9638,78.3%
9639,0.8%
9640,2.5%
9641,0.5%
9642,1.2%
9643,10%
9644,10%
9645,2%
9646,13%
9647,2%
9648,0.25%
9649,0.6%
9650,10%
9651,5%
9652,1.6%
9653,2.75%
9654,34%
9655,7.5%
9656,2.5percent
9657,2.6percent
9658,5percent
9659,15percent
9660,18percent
9661,2percent
9662,5percent
9663,12percent
9664,15percent
9665,8percent
9666,4percent
9667,refinancingspercent
9668,90percent
9669,75percent
9670,eightpercent
9671,2percent
9672,5percent
9673,10percent
9674,sixpercent
9675,thirty-fivepercent
9676,1.9percent
9677,12percent
9678,14percent
9679,4percent
9680,11percent
9681,16percent
9682,36percent
9683,8percent
9684,72.8percent
9685,1.9percent
9686,15.1percent
9687,3.9percent
9688,4.7percent
9689,7.3percent
9690,14.1percent
9691,4.3percent
9692,90percent
9693,60percent
9694,4.7percent
9695,5.7percent
9696,6percent
9697,900percent
9698,63percent
9699,21percent
9700,1.9percentage point
9701,17.7percent
9702,4.8percent
9703,1.6percent
9704,12percent
9705,30percent
9706,16percent
9707,5percent
9708,18percent
9709,6percent
9710,48percent
9711,49percent
9712,42percent
9713,54percent
9714,2%
9715,4%
9716,2%
9717,75%
9718,55%
9719,6%
9720,21%
9721,2.7%
9722,2.3percent
9723,175%
9724,2%
9725,0.75%
9726,23%
9727,CITY%
9728,9.04%
9729,7.54%
9730,7.30%
9731,7.15%
9732,6.82%
9733,5.16%
9734,5.06%
9735,4.28%
9736,4.15%
9737,4.09%
9738,3.73%
9739,3.62%
9740,3.43%
9741,3.16%
9742,2.83%
9743,2.11%
9744,1.87%
9745,1.79%
9746,1.51%
9747,1.43%
9748,1.41%
9749,1.37%
9750,1.34%
9751,1.23%
9752,1.03%
9753,0.98%
9754,0.59%
9755,0.53%
9756,0.47%
9757,0.45%
9758,6%
9759,exchangepercent
9760,people%
9761,100%
9762,11%
9763,10%
9764,11%
9765,10%
9766,0.2%
9767,90%
9768,90%
9769,90%
9770,90%
9771,90%
9772,90%
9773,90%
9774,90percent
9775,onepercent
9776,90%
9777,1.6%
9778,1.7%
9779,1.9%
9780,90%
9781,90%
9782,4.2%
9783,3.1%
9784,3.2%
9785,2.2%
9786,2.4%
9787,3.5%
9788,90%
9789,1%
9790,1%
9791,1%
9792,25%
9793,3%
9794,10%
9795,1%
9796,7.9%
9797,1%
9798,10.2percent
9799,21.2percent
9800,0.6percent
9801,16.0percent
9802,12.8percent
9803,9.6percent
9804,20.2percent
9805,3.7percent
9806,9.5percent
9807,5.9percent
9808,7.4percent
9809,17.1percent
9810,16.2percent
9811,9.8percent
9812,1%
9813,2%
9814,1.5%
9815,0.5%
9816,50%
9817,100%
9818,33%
9819,7%
9820,20%
9821,42%
9822,48%
9823,69%
9824,53%
9825,7%
9826,1%
9827,90%
9828,10%
9829,50percent
9830,22percent
9831,2.87%
9832,2.17%
9833,1.61%
9834,2.34%
9835,90%
9836,90%
9837,17%
9838,4%
9839,7%
9840,7percent
9841,50%
9842,98%
9843,50%
9844,90%
9845,42percent
9846,7percent
9847,20percent
9848,14.32percent
9849,13.6percent
9850,0.1%
9851,0.2%
9852,0.3%
9853,0.7%
9854,1.5%
9855,2.6%
9856,0.2%
9857,5%
9858,0.7%
9859,1.1%
9860,0.5%
9861,20%
9862,17.5%
9863,28%
9864,1%
9865,1%
9866,2%
9867,2%
9868,25%
9869,16percent
9870,15%
9871,90%
9872,2.67%
9873,highestpercent
9874,0.6%
9875,22percent
9876,21percent
9877,28percent
9878,19percent
9879,Thepercent
9880,17percent
9881,exceededpercent
9882,14percent
9883,Thepercent
9884,17percent
9885,exceededpercent
9886,10percent
9887,14percent
9888,11percent
9889,Thepercent
9890,12percent
9891,exceededpercent
9892,5percent
9893,Thepercent
9894,37percent
9895,exceededpercent
9896,17percent
9897,Twenty-fourpercent
9898,16percent
9899,55percent
9900,29percent
9901,44percent
9902,65percent
9903,18percent
9904,90percent
9905,obscenepercent
9906,5%
9907,4%
9908,4%
9909,5%
9910,2%
9911,4%
9912,5%
9913,1.5%
9914,3%
9915,4%
9916,5%
9917,15.4percent
9918,2%
9919,40%
9920,70%
9921,1.5percent
9922,1.4percent
9923,43percent
9924,19percent
9925,0.3%
9926,0.8%
9927,0.5%
9928,0.8%
9929,0.8%
9930,22%
9931,100percent
9932,1.4%
9933,15.2percent
9934,12.6percent
9935,18.0percent
9936,32.8percent
9937,58.8percent
9938,3%
9939,1.95%
9940,1.4%
9941,2%
9942,0.2%
9943,2.9percent
9944,11.9percent
9945,8.0%
9946,0.2%
9947,101%
9948,86%
9949,97%
9950,50%
9951,100%
9952,90%
9953,0.8%
9954,1.8%
9955,1.5%
9956,2.0%
9957,11.2%
9958,7.4%
9959,6%
9960,2%
9961,50%
9962,90%
9963,2%
9964,2%
